Language	Language (local)	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Images	Depth
English	English	en	5,645,856	44,934,104	835,674,975	1,214	33,554,987	134,999	868,263	900.59
Cebuano	Cebuano	ceb	5,382,897	8,964,325	22,387,832	5	47,489	165	0	1.11
Swedish	svenska	sv	3,784,498	7,658,518	42,799,664	62	611,392	2,629	0	5.86
German	Deutsch	de	2,179,562	6,129,789	176,141,279	195	2,902,855	18,187	129,482	94.39
French	français	fr	1,981,951	9,442,944	147,803,722	164	3,098,549	19,257	54,154	221.81
Dutch	Nederlands	nl	1,930,772	3,962,497	51,435,362	44	915,368	3,776	21	14.37
Russian	русский	ru	1,471,513	5,655,101	92,248,011	81	2,293,359	10,803	209,584	131.85
Italian	italiano	it	1,435,925	5,502,734	96,551,604	114	1,656,699	8,335	142,041	140.74
Spanish	español	es	1,409,440	6,317,382	107,210,089	70	4,992,947	16,951	0	205.78
Polish	polski	pl	1,279,189	2,844,869	53,207,898	106	886,038	4,083	35	28.02
Waray	Winaray	war	1,262,989	2,875,906	6,188,260	2	36,925	91	44	3.51
Vietnamese	Tiếng Việt	vi	1,172,756	13,271,083	39,873,463	22	599,887	1,583	26,816	319.75
Japanese	日本語	ja	1,105,862	3,274,066	68,295,938	43	1,327,474	13,248	85,279	80.19
Chinese	中文	zh	1,004,855	5,387,337	49,184,126	79	2,513,687	8,248	49,068	173.65
Portuguese	português	pt	997,570	4,617,684	51,844,744	79	2,088,595	6,081	48,770	147.86
Ukrainian	українська	uk	785,593	2,374,906	22,499,850	41	403,730	2,678	94,086	38.78
Persian	فارسی	fa	616,365	4,046,776	23,161,940	34	732,672	4,345	50,416	177.29
Serbian	српски / srpski	sr	606,534	3,639,680	20,447,498	16	222,006	955	29,600	140.49
Catalan	català	ca	579,515	1,436,493	19,845,026	25	290,431	1,626	10,559	30.21
Arabic	العربية	ar	574,019	3,520,516	28,422,854	29	1,486,298	5,130	30,870	212.73
Norwegian (Bokmål)	norsk	no	487,888	1,294,797	18,458,081	42	426,942	1,500	1	38.99
Serbo-Croatian	srpskohrvatski / српскохрватски	sh	443,701	4,595,226	40,799,993	10	121,579	257	9,060	777.3
Finnish	suomi	fi	437,028	1,180,159	17,239,595	36	382,602	1,876	53,637	42.24
Hungarian	magyar	hu	430,735	1,252,029	19,852,571	29	380,376	1,651	24,160	57.65
Indonesian	Bahasa Indonesia	id	429,157	2,342,135	13,862,940	34	960,299	2,462	61,137	117.61
Korean	한국어	ko	416,496	1,618,636	21,155,262	25	503,025	2,293	13,879	108.88
Czech	čeština	cs	404,964	1,088,629	16,035,348	30	410,944	1,998	1	41.98
Romanian	română	ro	385,687	2,036,350	12,151,475	17	437,499	883	36,006	109.3
Malay	Bahasa Melayu	ms	314,944	857,373	4,325,627	13	213,391	437	21,635	14.97
Turkish	Türkçe	tr	308,737	1,558,806	19,633,499	27	998,304	766	31,037	206.49
Basque	euskara	eu	292,407	717,627	6,196,797	10	88,749	543	0	18.26
Esperanto	Esperanto	eo	246,766	547,126	6,292,681	19	145,507	338	4,416	17.04
Bulgarian	български	bg	241,727	536,917	8,477,967	26	233,635	662	827	23.55
